State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,12:50,Special,110₹,95,0
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,12:50,Executive,110₹,234,2
Karnataka,Kalaburagi,MirajCinemasShraddhaMallMadoopura,Kannada,12:50,Gold,200₹,11,0
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Kannada,14:05,Classic,190₹,108,0
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Kannada,14:05,Prime,210₹,99,11
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Kannada,14:05,Recliner,400₹,12,2
Karnataka,Bengaluru,CinepolisEtaNammaMallBinnyPete,Kannada,16:05,Executive,120₹,69,0
Karnataka,Bengaluru,CinepolisEtaNammaMallBinnyPete,Kannada,16:05,Premium,120₹,29,0
Karnataka,Davanagere,MovieTimeSsGardeniaMall,Kannada,16:10,Premier,180₹,160,0
Karnataka,Davanagere,MovieTimeSsGardeniaMall,Kannada,16:10,Gold,200₹,41,0
Karnataka,Bengaluru,PvrVaishnaviSapphireMallYashwantpur,Kannada,17:15,Classic,160₹,85,0
Karnataka,Bengaluru,PvrVaishnaviSapphireMallYashwantpur,Kannada,17:15,Prime,190₹,20,0
Karnataka,Bengaluru,PvrVaishnaviSapphireMallYashwantpur,Kannada,17:15,Recliner,330₹,13,0
Karnataka,Bengaluru,InoxCentralMantriJunctionJpNagar,Kannada,19:10,Club,200₹,219,0
Karnataka,Bengaluru,InoxCentralMantriJunctionJpNagar,Kannada,19:10,Royal,350₹,10,0
Karnataka,Bengaluru,InoxMantriSquareMalleshwaram,Kannada,19:20,Club,200₹,209,8
