State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Haryana,Gurgaon,InoxWorldMarkGurugram,English,09:00,Club,112₹,78,0
Haryana,Gurgaon,InoxWorldMarkGurugram,English,09:00,Executive,112₹,26,0
Haryana,Gurgaon,InoxWorldMarkGurugram,English,09:00,Royal,112₹,70,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,09:00,RoyalRecliner,200₹,77,1
Maharashtra,Mumbai,PvrKotakImaxWithLaserPhoenixPalladiumLowerParelMumbai,English,09:00,Classic,250₹,57,0
Maharashtra,Mumbai,PvrKotakImaxWithLaserPhoenixPalladiumLowerParelMumbai,English,09:00,Prime,250₹,329,19
Maharashtra,Mumbai,PvrKotakImaxWithLaserPhoenixPalladiumLowerParelMumbai,English,09:00,Recliner,350₹,16,4
Maharashtra,Pune,PvrGrandHighstreetPune,English,09:00,Classic,112₹,28,28
Maharashtra,Pune,PvrGrandHighstreetPune,English,09:00,Prime,112₹,56,56
Maharashtra,Pune,PvrGrandHighstreetPune,English,09:00,PrimePlus,112₹,60,60
Maharashtra,Pune,PvrGrandHighstreetPune,English,09:00,Recliner,250₹,9,9
Gujarat,Surat,InoxVrSuratDumasRoad,English,09:05,Club,150₹,102,0
Gujarat,Surat,InoxVrSuratDumasRoad,English,09:05,Executive,150₹,34,0
Gujarat,Surat,InoxVrSuratDumasRoad,English,09:05,Royal,150₹,54,0
Gujarat,Surat,InoxVrSuratDumasRoad,English,09:05,RoyalRecliner,180₹,12,0
Delhi,NewDelhi,PvrVegasImaxDwarka,English,09:15,Prime,150₹,97,0
Delhi,NewDelhi,PvrVegasImaxDwarka,English,09:15,Classic,150₹,228,0
Goa,Goa,InoxPorvorimBardez,English,09:15,Club,140₹,116,0
Goa,Goa,InoxPorvorimBardez,English,09:15,Executive,140₹,36,0
Goa,Goa,InoxPorvorimBardez,English,09:15,RoyalRecliner,200₹,9,0
Goa,Goa,InoxPorvorimBardez,English,09:15,Royal,140₹,60,0
Maharashtra,Mumbai,PvrInfinitiMaladMumbai,English,09:15,Prime,112₹,76,0
Karnataka,Bengaluru,InoxMantriSquareMalleshwaram,English,09:20,Club,270₹,222,0
Haryana,Gurgaon,PvrImaxAmbienceGurgaon,English,09:30,ClassicImax,112₹,136,0
Haryana,Gurgaon,PvrImaxAmbienceGurgaon,English,09:30,PrimeImax,112₹,87,0
Haryana,Gurgaon,PvrImaxAmbienceGurgaon,English,09:30,Lounger,112₹,9,0
Delhi,NewDelhi,PvrSelectCityWalkImaxLaserSaket,English,09:30,LoungerNormal,112₹,11,0
Delhi,NewDelhi,PvrSelectCityWalkImaxLaserSaket,English,09:30,ClassicNormal,112₹,132,0
Delhi,NewDelhi,PvrSelectCityWalkImaxLaserSaket,English,09:30,Prime,112₹,133,9
Delhi,NewDelhi,PvrSelectCityWalkImaxLaserSaket,English,09:30,ReclinersNormal,400₹,17,0
Maharashtra,Pune,CinepolisNexusWestend,English,09:30,Normal,200₹,40,0
Maharashtra,Pune,CinepolisNexusWestend,English,09:30,Executive,200₹,172,0
Maharashtra,Pune,CinepolisNexusWestend,English,09:30,Premium,200₹,51,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,English,09:30,Normal,180₹,39,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,English,09:30,Executive,180₹,224,2
Maharashtra,Thane,CinepolisVivianaMallThaneW,English,09:30,Premium,210₹,57,0
Maharashtra,Mumbai,PvrDynamicJuhu,English,09:30,Prime,112₹,219,23
Maharashtra,Mumbai,PvrDynamicJuhu,English,09:30,Classic,112₹,84,0
Delhi,NewDelhi,CinepolisDlfAvenueSaket,English,09:35,Normal,140₹,108,0
Gujarat,Surat,PvrRahulRaj4DxDumasRoad,English,09:45,4DxPrime,200₹,60,8
Gujarat,Surat,PvrRahulRaj4DxDumasRoad,English,09:45,4DxClassic,200₹,24,0
Delhi,NewDelhi,PvrPacificSubhashNagar4DxDelhi,English,10:00,Prime,200₹,72,0
Delhi,NewDelhi,PvrPacificSubhashNagar4DxDelhi,English,10:00,Classic,200₹,36,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,10:00,Executive,150₹,56,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,10:00,Premiere,150₹,146,0
Maharashtra,Mumbai,InoxMegaplexInorbitMall,English,10:00,Silver,150₹,100,0
Karnataka,Bengaluru,CinepolisEtaNammaMallBinnyPete,English,10:00,Normal,120₹,10,0
Karnataka,Bengaluru,CinepolisEtaNammaMallBinnyPete,English,10:00,Executive,120₹,82,0
Karnataka,Bengaluru,CinepolisEtaNammaMallBinnyPete,English,10:00,Premium,120₹,32,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,10:00,Club,150₹,174,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,10:00,Executive,150₹,59,0
Maharashtra,Mumbai,InoxRCityGhatkoparW,English,10:00,Royal,150₹,93,0
MadhyaPradesh,Bhopal,CinepolisAashimaMallBawadiyaKalan,English,10:10,Normal,110₹,30,0
MadhyaPradesh,Bhopal,CinepolisAashimaMallBawadiyaKalan,English,10:10,Executive,110₹,102,2
MadhyaPradesh,Bhopal,CinepolisAashimaMallBawadiyaKalan,English,10:10,Premium,110₹,83,2
Delhi,NewDelhi,PvrVegas4DxDwarka,English,10:30,Prime,200₹,24,24
Delhi,NewDelhi,PvrVegas4DxDwarka,English,10:30,Classic,200₹,84,84
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMallBannerghattaRoad,English,10:30,Normal,110₹,28,0
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMallBannerghattaRoad,English,10:30,Executive,110₹,74,0
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMallBannerghattaRoad,English,10:30,Premium,110₹,39,0
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,English,10:40,Vip,350₹,11,0
