State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Kerala,Thrissur,InoxSobhaCityMallPuzhakkal,Malayalam,19:45,RoyalRecliner,290₹,10,2
Kerala,Thrissur,InoxSobhaCityMallPuzhakkal,Malayalam,19:45,Royal,170₹,16,11
Kerala,Thrissur,InoxSobhaCityMallPuzhakkal,Malayalam,19:45,Club,170₹,63,28
Kerala,Thrissur,InoxSobhaCityMallPuzhakkal,Malayalam,19:45,Executive,130₹,22,0
Kerala,Trivandrum,PvrLuluThiruvananthapuram,Malayalam,22:00,Classic,170₹,65,28
Kerala,Trivandrum,PvrLuluThiruvananthapuram,Malayalam,22:00,Prime,190₹,30,14
Kerala,Trivandrum,PvrLuluThiruvananthapuram,Malayalam,22:00,Recliner,350₹,8,0
Kerala,Kochi,PvrLuluKochi,Malayalam,22:15,Classic,140₹,39,0
Kerala,Kochi,PvrLuluKochi,Malayalam,22:15,ClassicPlus,160₹,91,32
Kerala,Kochi,PvrLuluKochi,Malayalam,22:15,Prime,180₹,64,21
Kerala,Kochi,PvrLuluKochi,Malayalam,22:15,Recliner,350₹,9,2
