City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Kolkata,ChhabigharCinemaBaithakkhana,700009,Bengali,13:00,Balcony,100₹,144,80
Kolkata,ChhabigharCinemaBaithakkhana,700009,Bengali,13:00,RearStall,80₹,502,148
Kolkata,SurendraTheatre,741201,Bengali,13:30,DressCircle,110₹,24,2
Kolkata,SurendraTheatre,741201,Bengali,13:30,Balcony,50₹,46,0
Kolkata,PvrAvaniRiverSideMall,711102,Bengali,13:45,Prime,260₹,6,0
Kolkata,PvrAvaniRiverSideMall,711102,Bengali,13:45,Classic,210₹,183,2
Kolkata,InoxSouthCityMall,700068,Bengali,13:50,Premier,230₹,34,0
Kolkata,InoxSouthCityMall,700068,Bengali,13:50,Silver,250₹,156,6
Kolkata,InoxStarMallMadhyamgram,700129,Bengali,14:00,Club,180₹,92,0
Kolkata,InoxStarMallMadhyamgram,700129,Bengali,14:00,Executive,160₹,32,0
Kolkata,InoxStarMallMadhyamgram,700129,Bengali,14:00,Royal,200₹,63,2
Kolkata,LaliCinemaBarasat,700130,Bengali,14:00,DressCircle,100₹,22,16
Kolkata,LaliCinemaBarasat,700130,Bengali,14:00,Balcony,70₹,169,142
Kolkata,LaliCinemaBarasat,700130,Bengali,14:00,RearStall,50₹,270,216
Kolkata,PvrDiamondPlazaJassore,700055,Bengali,15:05,Classic,240₹,189,2
Kolkata,PvrDiamondPlazaJassore,700055,Bengali,15:05,Prime,280₹,11,0
Kolkata,PvrDiamondPlazaJassore,700055,Bengali,15:05,Recliner,450₹,12,0
Kolkata,InoxMetropolisMallHilandPark,700094,Bengali,16:50,Premier,200₹,36,0
Kolkata,InoxMetropolisMallHilandPark,700094,Bengali,16:50,Royal,400₹,14,0
Kolkata,InoxMetropolisMallHilandPark,700094,Bengali,16:50,Silver,220₹,147,6
Kolkata,MinarCinemaACDolbyHatiBagan,700004,Bengali,17:00,Balcony,120₹,274,159
Kolkata,MinarCinemaACDolbyHatiBagan,700004,Bengali,17:00,RearStall,100₹,575,407
Kolkata,ChhabigharCinemaBaithakkhana,700009,Bengali,17:00,Balcony,100₹,144,84
Kolkata,ChhabigharCinemaBaithakkhana,700009,Bengali,17:00,RearStall,80₹,502,148
Kolkata,BijoliCinemaBhowanipore,700025,Bengali,17:00,Balcony,100₹,188,107
Kolkata,BijoliCinemaBhowanipore,700025,Bengali,17:00,RearStall,80₹,614,112
Kolkata,CinepolisLakeMallRashbehari,700026,Bengali,17:30,Normal,220₹,40,2
Kolkata,CinepolisLakeMallRashbehari,700026,Bengali,17:30,Executive,240₹,186,10
Kolkata,CinepolisLakeMallRashbehari,700026,Bengali,17:30,Premium,260₹,20,2
Kolkata,CinepolisLakeMallRashbehari,700026,Bengali,17:30,Vip,500₹,12,0
Burdwan,InoxBurdwanArcadeBBGhoshRoad,713101,Bengali,17:35,Club,150₹,72,0
Burdwan,InoxBurdwanArcadeBBGhoshRoad,713101,Bengali,17:35,Executive,140₹,36,0
Burdwan,InoxBurdwanArcadeBBGhoshRoad,713101,Bengali,17:35,Royal,170₹,40,2
Kolkata,RupMandirCinemaBelgharia,700056,Bengali,19:30,Platinum,100₹,48,0
Kolkata,RupMandirCinemaBelgharia,700056,Bengali,19:30,Gold,80₹,102,32
