State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Haryana,Chandigarh,PvrElanteMallChandigarh,Punjabi,09:00,Classic,130₹,140,0
Haryana,Chandigarh,PvrElanteMallChandigarh,Punjabi,09:00,Recliner,300₹,26,0
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,10:00,Classic,99₹,27,0
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,10:00,Prime,99₹,52,2
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,10:00,ClassicPlus,99₹,27,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,14:00,Recliner,380₹,12,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,14:00,Prime,240₹,12,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,14:00,Classic,150₹,112,1
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,14:00,ClassicPlus,180₹,37,2
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,15:15,Classic,99₹,64,4
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,18:40,Classic,99₹,84,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,18:40,Prime,99₹,38,3
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,20:00,Prime,99₹,25,10
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,20:00,Classic,99₹,115,3
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,21:15,Classic,99₹,64,0
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,21:45,Prime,99₹,25,0
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,21:45,Classic,99₹,115,0
