State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Assam,Golaghat,GoldCinemaGolaghat,Assamese,11:15,Platinum,150₹,24,0
Assam,Golaghat,GoldCinemaGolaghat,Assamese,11:15,Gold,130₹,142,0
Assam,Golaghat,GoldCinemaGolaghat,Assamese,11:15,Silver,100₹,54,0
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,11:30,Silver,99₹,30,0
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,11:30,Gold,99₹,90,0
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,11:30,Business,149₹,60,10
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,11:30,Platinum,129₹,75,10
Assam,Kokrajhar,GoldCinemaKokrajhar,Assamese,14:00,Platinum,180₹,60,0
Assam,Kokrajhar,GoldCinemaKokrajhar,Assamese,14:00,Gold,150₹,84,0
Assam,Kokrajhar,GoldCinemaKokrajhar,Assamese,14:00,Silver,120₹,42,0
Assam,Sivasagar,BhaskarjyotiCinemaBhatiapar,Assamese,14:00,SilverClass,200₹,176,132
Assam,Sivasagar,BhaskarjyotiCinemaBhatiapar,Assamese,14:00,PremierCircle,150₹,315,273
Assam,Bihpuria,PreranaCinema,Assamese,14:00,Platinum,150₹,57,0
Assam,Bihpuria,PreranaCinema,Assamese,14:00,Gold,120₹,50,0
Assam,Bihpuria,PreranaCinema,Assamese,14:00,Silver,80₹,33,0
Assam,Guwahati,CinepolisCentralMallGuwahati,Assamese,14:50,Normal,100₹,24,0
Assam,Guwahati,CinepolisCentralMallGuwahati,Assamese,14:50,Executive,100₹,116,0
Assam,Guwahati,CinepolisCentralMallGuwahati,Assamese,14:50,Premium,100₹,52,4
Assam,Guwahati,CinepolisCentralMallGuwahati,Assamese,14:50,Vip,150₹,4,2
Assam,Guwahati,GoldCinemaNarengi,Assamese,15:00,Diamond,180₹,100,0
Assam,Guwahati,GoldCinemaNarengi,Assamese,15:00,Gold,140₹,100,0
Assam,Guwahati,GoldCinemaNarengi,Assamese,15:00,Silver,120₹,100,0
Assam,Guwahati,MatrixCinemasMatrixMallBeltola,Assamese,15:40,Gold,400₹,42,0
Assam,Guwahati,MatrixCinemasMatrixMallBeltola,Assamese,15:40,Club,200₹,52,0
Assam,Guwahati,MatrixCinemasMatrixMallBeltola,Assamese,15:40,Executive,150₹,13,0
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,15:45,Business,330₹,14,4
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,15:45,Platinum,280₹,192,7
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,15:45,Gold,220₹,51,7
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,15:45,Silver,130₹,34,0
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,16:00,Silver,99₹,30,0
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,16:00,Gold,99₹,90,0
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,16:00,Business,149₹,60,10
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,16:00,Platinum,129₹,75,10
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,16:05,Business,340₹,17,4
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,16:05,Platinum,280₹,22,4
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,16:05,Gold,190₹,85,2
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,16:05,Silver,100₹,50,1
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,16:05,Executive,240₹,150,10
Assam,Mangaldoi,GoldCinemaMangaldoi,Assamese,17:00,Platinum,150₹,67,0
Assam,Mangaldoi,GoldCinemaMangaldoi,Assamese,17:00,Gold,100₹,96,0
Assam,Mangaldoi,GoldCinemaMangaldoi,Assamese,17:00,Silver,70₹,32,0
Assam,Mangaldoi,GoldCinemaMangaldoi,Assamese,17:15,Platinum,150₹,100,0
Assam,Mangaldoi,GoldCinemaMangaldoi,Assamese,17:15,Gold,100₹,100,0
Assam,Mangaldoi,GoldCinemaMangaldoi,Assamese,17:15,Silver,70₹,100,0
Assam,Guwahati,CarnivalTimesSquareTimesSquareMall,Assamese,17:30,Silver,99₹,60,0
Assam,Guwahati,CarnivalTimesSquareTimesSquareMall,Assamese,17:30,Gold,99₹,124,12
Assam,Guwahati,CarnivalTimesSquareTimesSquareMall,Assamese,17:30,Recliner,180₹,30,8
Assam,Guwahati,InoxAurusGuwahati,Assamese,19:20,Insignia,250₹,37,9
Assam,Bihpuria,PreranaCinema,Assamese,19:30,Platinum,150₹,57,0
Assam,Bihpuria,PreranaCinema,Assamese,19:30,Gold,120₹,50,0
Assam,Bihpuria,PreranaCinema,Assamese,19:30,Silver,80₹,33,0
Assam,Guwahati,PvrCityCentreGuwahati,Assamese,19:45,Classic,112₹,40,0
Assam,Guwahati,PvrCityCentreGuwahati,Assamese,19:45,Prime,112₹,82,18
Assam,Guwahati,PvrCityCentreGuwahati,Assamese,19:45,PrimePlus,112₹,13,4
