State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Gujarat,Vadodara,CinemarcVip,Hindi,08:55,Premium,70₹,46,0
Gujarat,Vadodara,CinemarcVip,Hindi,08:55,Silver,70₹,158,0
Gujarat,Vadodara,CinemarcVip,Hindi,08:55,Gold,80₹,37,0
Gujarat,Vadodara,CinemarcVip,Hindi,08:55,Sofa,100₹,35,0
Maharashtra,Pune,InoxElproCitySquareChinchwad,Hindi,08:55,Club,130₹,108,0
Maharashtra,Pune,InoxElproCitySquareChinchwad,Hindi,08:55,Executive,130₹,36,0
Maharashtra,Pune,InoxElproCitySquareChinchwad,Hindi,08:55,RoyaleRecliners,240₹,31,0
Maharashtra,Pune,InoxElproCitySquareChinchwad,Hindi,08:55,Royale,140₹,98,0
Gujarat,Ahmedabad,CinepolisNexusOneAhmedabad,Hindi,09:00,Normal,100₹,37,0
Gujarat,Ahmedabad,CinepolisNexusOneAhmedabad,Hindi,09:00,Executive,150₹,45,0
Gujarat,Ahmedabad,CinepolisNexusOneAhmedabad,Hindi,09:00,Premium,200₹,54,0
Rajasthan,Udaipur,InoxLakeCityMallAshokNagar,Hindi,09:10,Club,110₹,175,2
Rajasthan,Udaipur,InoxLakeCityMallAshokNagar,Hindi,09:10,Executive,100₹,25,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,09:10,Normal,180₹,17,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,09:10,Executive,200₹,77,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,09:10,Premium,220₹,80,0
Maharashtra,NaviMumbai,CinepolisNexusSeawoodsNaviMumbai,Hindi,09:10,Vip,350₹,13,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Hindi,09:10,Club,130₹,231,5
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Hindi,09:10,Executive,130₹,32,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Hindi,09:10,Royale,200₹,6,0
Goa,Goa,InoxOldGmcDbRoad,Hindi,09:15,Club,130₹,90,0
Goa,Goa,InoxOldGmcDbRoad,Hindi,09:15,Executive,130₹,36,0
Goa,Goa,InoxOldGmcDbRoad,Hindi,09:15,Royal,150₹,75,2
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,Hindi,09:15,Club,130₹,129,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,Hindi,09:15,Executive,130₹,30,0
Maharashtra,Mumbai,MetroInoxCinemaMGRoad,Hindi,09:15,Royale,150₹,81,0
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,Hindi,09:15,Normal,160₹,26,0
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,Hindi,09:15,Executive,180₹,26,0
Jharkhand,Jamshedpur,PjpCinepolisCityCentreMallMauja,Hindi,09:15,Premium,200₹,68,5
Rajasthan,Jaipur,CinepolisTritonMegaMallJhotwaraRoad,Hindi,09:25,Executive,160₹,130,12
Rajasthan,Jaipur,CinepolisTritonMegaMallJhotwaraRoad,Hindi,09:25,Normal,160₹,34,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Hindi,09:30,Classic,150₹,252,2
WestBengal,Kolkata,PvrDiamondPlazaJassore,Hindi,09:30,Prime,200₹,11,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Hindi,09:30,Recliner,380₹,10,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Hindi,09:30,Normal,140₹,27,0
Maharashtra,Thane,CinepolisVivianaMallThaneW,Hindi,09:30,Executive,150₹,101,2
Maharashtra,Thane,CinepolisVivianaMallThaneW,Hindi,09:30,Premium,170₹,46,22
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,Hindi,09:35,Vip,500₹,10,0
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,Hindi,09:35,Premium,190₹,48,2
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,Hindi,09:35,Executive,170₹,71,2
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,Hindi,09:35,Normal,150₹,26,0
