State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Karnataka,Bengaluru,InoxBrookefieldMallKundalahalli,Kannada,10:15,ClubCl,140₹,20,0
Karnataka,Bengaluru,InoxBrookefieldMallKundalahalli,Kannada,10:15,ExecutiveEx,130₹,85,0
Karnataka,Tumakuru,InoxSMallTumakuru,Kannada,10:30,ClubCl,130₹,56,0
Karnataka,Tumakuru,InoxSMallTumakuru,Kannada,10:30,ExecutiveEx,130₹,76,0
Karnataka,Bengaluru,PvrTheCinemaGtWorldMagadiRoad,Kannada,10:30,Recliner0000000008,210₹,5,0
Karnataka,Bengaluru,PvrTheCinemaGtWorldMagadiRoad,Kannada,10:30,Classic0000000006,112₹,220,2
Karnataka,Bengaluru,GowrishankarDolby71Attibele,Kannada,10:30,FirstClass10,100₹,180,92
Karnataka,Bengaluru,GowrishankarDolby71Attibele,Kannada,10:30,SecondClass20,100₹,162,162
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Kannada,11:00,Recliner0000000015,230₹,10,2
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Kannada,11:00,Classic0000000011,112₹,128,0
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Kannada,11:00,Prime0000000003,160₹,90,0
Karnataka,Bengaluru,InoxGarudaMallMagrathRoad,Kannada,11:00,ClubCl,210₹,60,0
Karnataka,Bengaluru,InoxGarudaMallMagrathRoad,Kannada,11:00,ExecutiveEx,180₹,90,0
Karnataka,Bengaluru,InoxGarudaMallMagrathRoad,Kannada,11:00,RoyaleReclinersRr,310₹,9,0
Karnataka,Hubli,CinepolisUrbanOasisMallHubli,Kannada,12:55,Normal0000000000,200₹,38,0
Karnataka,Hubli,CinepolisUrbanOasisMallHubli,Kannada,12:55,Executive0000000002,200₹,103,0
Karnataka,Hubli,CinepolisUrbanOasisMallHubli,Kannada,12:55,Premium0000000001,200₹,62,10
Karnataka,Bengaluru,PvrTheCinemaGtWorldMagadiRoad,Kannada,12:55,Recliner0000000008,240₹,5,0
Karnataka,Bengaluru,PvrTheCinemaGtWorldMagadiRoad,Kannada,12:55,Classic0000000006,112₹,220,0
Karnataka,Bengaluru,CinepolisSjrSpectrumCentralMallBannerghattaRoad,Kannada,13:05,Normal0000000000,150₹,28,0
Karnataka,Bengaluru,CinepolisSjrSpectrumCentralMallBannerghattaRoad,Kannada,13:05,Executive0000000002,170₹,59,0
Karnataka,Bengaluru,CinepolisSjrSpectrumCentralMallBannerghattaRoad,Kannada,13:05,Premium0000000001,190₹,41,0
Karnataka,Bengaluru,CinepolisSjrSpectrumCentralMallBannerghattaRoad,Kannada,13:05,Vip0000000003,380₹,12,0
Karnataka,Bengaluru,CinepolisEtaNammaMallBinnyPete,Kannada,13:20,Executive0000000002,112₹,69,0
Karnataka,Bengaluru,CinepolisEtaNammaMallBinnyPete,Kannada,13:20,Premium0000000001,112₹,29,0
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMallBannerghattaRoad,Kannada,13:20,Normal0000000000,180₹,24,0
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMallBannerghattaRoad,Kannada,13:20,Executive0000000002,180₹,52,2
Karnataka,Bengaluru,CinepolisRoyalMeenakshiMallBannerghattaRoad,Kannada,13:20,Premium0000000001,180₹,28,2
Karnataka,Bengaluru,PvrVaishnaviSapphireMallYashwantpur,Kannada,14:05,Classic0000000005,112₹,85,2
Karnataka,Bengaluru,PvrVaishnaviSapphireMallYashwantpur,Kannada,14:05,Prime0000000006,150₹,31,0
Karnataka,Bengaluru,PvrVaishnaviSapphireMallYashwantpur,Kannada,14:05,Recliner0000000007,240₹,9,0
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteSunkadakatteBengaluru,Kannada,14:15,PlatinumRecliner0000000005,200₹,20,0
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteSunkadakatteBengaluru,Kannada,14:15,Gold0000000002,110₹,173,4
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteSunkadakatteBengaluru,Kannada,14:15,Silver0000000001,90₹,34,0
Karnataka,Mysuru,PvrGarudaMallAlbertVictorRoad,Kannada,15:45,Classic0000000001,110₹,102,0
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Kannada,16:35,Classic0000000011,160₹,128,0
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Kannada,16:35,Prime0000000003,190₹,90,0
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Kannada,16:35,Recliner0000000015,260₹,10,0
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteSunkadakatteBengaluru,Kannada,16:40,PlatinumRecliner0000000005,200₹,20,0
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteSunkadakatteBengaluru,Kannada,16:40,Gold0000000002,110₹,173,0
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteSunkadakatteBengaluru,Kannada,16:40,Silver0000000001,90₹,34,0
Karnataka,Bengaluru,InoxSbrHorizonSeegehalliWhitefieldHoskoteRd,Kannada,16:55,ExecutiveEx,150₹,50,0
Karnataka,Bengaluru,InoxSbrHorizonSeegehalliWhitefieldHoskoteRd,Kannada,16:55,ClubCl,170₹,54,0
Karnataka,Bengaluru,GowrishankarDolby71Attibele,Kannada,17:30,FirstClass10,100₹,180,92
Karnataka,Bengaluru,GowrishankarDolby71Attibele,Kannada,17:30,SecondClass20,100₹,162,162
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteSunkadakatteBengaluru,Kannada,19:05,PlatinumRecliner0000000005,250₹,20,0
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteSunkadakatteBengaluru,Kannada,19:05,Gold0000000002,130₹,173,0
Karnataka,Bengaluru,MirajCinemasTgnLotusEliteSunkadakatteBengaluru,Kannada,19:05,Silver0000000001,110₹,34,0
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Kannada,19:05,Classic0000000011,180₹,140,2
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Kannada,19:05,Prime0000000003,210₹,108,8
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,Kannada,19:05,Recliner0000000015,310₹,28,3
Karnataka,Bengaluru,PvrVegaBannerghattaRoad,Kannada,19:20,Classic0000000005,180₹,78,3
Karnataka,Bengaluru,PvrVegaBannerghattaRoad,Kannada,19:20,Recliner0000000007,310₹,9,0
Karnataka,Tumakuru,InoxSMallTumakuru,Kannada,19:40,InsigniaIn,350₹,29,0
Karnataka,Bengaluru,PvrVaishnaviSapphireMallYashwantpur,Kannada,19:55,Classic0000000005,180₹,85,0
Karnataka,Bengaluru,PvrVaishnaviSapphireMallYashwantpur,Kannada,19:55,Prime0000000006,200₹,31,3
Karnataka,Bengaluru,PvrVaishnaviSapphireMallYashwantpur,Kannada,19:55,Recliner0000000007,290₹,13,0
