State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Marathi,09:40,Club,112₹,231,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Marathi,09:40,Executive,112₹,32,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Marathi,09:40,Royale,190₹,6,0
Maharashtra,Pune,GunjanCinemaYawat,Marathi,12:00,Vip,130₹,53,0
Maharashtra,Pune,GunjanCinemaYawat,Marathi,12:00,Silver,110₹,86,0
Maharashtra,Shirur,DigiGoldNovaCinema,Marathi,12:30,Gold,150₹,80,0
Maharashtra,Shirur,DigiGoldNovaCinema,Marathi,12:30,Silver,130₹,64,0
Maharashtra,Pune,GunjanCinemaNhavare,Marathi,12:30,Gold,100₹,40,0
Maharashtra,Pune,GunjanCinemaNhavare,Marathi,12:30,Silver,100₹,34,16
Maharashtra,Pune,VaibhavChitramandirHadapsar,Marathi,12:30,Gold,100₹,142,0
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,13:30,PrimePlus,112₹,10,4
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,13:30,Prime,112₹,119,18
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,13:30,Classic,112₹,52,0
Maharashtra,Pune,GunjanCinemaYawat,Marathi,15:00,Vip,130₹,53,0
Maharashtra,Pune,GunjanCinemaYawat,Marathi,15:00,Silver,110₹,86,0
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,15:15,Silver,150₹,42,0
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,15:15,Gold,150₹,128,0
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,15:15,Sofa,180₹,17,0
Maharashtra,Shirur,DigiGoldNovaCinema,Marathi,15:30,Gold,150₹,80,0
Maharashtra,Shirur,DigiGoldNovaCinema,Marathi,15:30,Silver,130₹,64,0
Maharashtra,Pune,GunjanCinemaNhavare,Marathi,15:30,Gold,100₹,40,0
Maharashtra,Pune,GunjanCinemaNhavare,Marathi,15:30,Silver,100₹,34,16
Maharashtra,Pune,GunjanCinemaYawat,Marathi,18:00,Vip,130₹,53,0
Maharashtra,Pune,GunjanCinemaYawat,Marathi,18:00,Silver,110₹,86,0
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,18:15,Silver,150₹,42,0
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,18:15,Gold,150₹,128,0
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,18:15,Sofa,180₹,17,0
Maharashtra,Shirur,DigiGoldNovaCinema,Marathi,18:30,Gold,150₹,80,0
Maharashtra,Shirur,DigiGoldNovaCinema,Marathi,18:30,Silver,130₹,64,0
Maharashtra,Pune,GunjanCinemaNhavare,Marathi,18:30,Gold,100₹,40,0
Maharashtra,Pune,GunjanCinemaNhavare,Marathi,18:30,Silver,100₹,34,16
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Marathi,19:00,Normal,150₹,29,0
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Marathi,19:00,Executive,150₹,79,5
Maharashtra,Pune,CinepolisSeasonsMallHadapsar,Marathi,19:00,Premium,150₹,30,4
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,19:40,PrimePlus,112₹,10,6
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,19:40,Prime,112₹,119,40
Maharashtra,Pune,PvrMarketCityVimanNagar,Marathi,19:40,Classic,112₹,52,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Marathi,19:45,Club,112₹,231,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Marathi,19:45,Executive,112₹,32,0
Maharashtra,Pune,InoxAmanoraTownCentreHadapsar,Marathi,19:45,Royale,190₹,6,0
Maharashtra,Pandharpur,SNCinemaPandharpur,Marathi,21:00,Platinum,150₹,52,0
Maharashtra,Pandharpur,SNCinemaPandharpur,Marathi,21:00,Gold,130₹,42,0
Maharashtra,Pandharpur,SNCinemaPandharpur,Marathi,21:00,Silver,100₹,56,1
Maharashtra,Pune,GunjanCinemaYawat,Marathi,21:00,Vip,130₹,53,0
Maharashtra,Pune,GunjanCinemaYawat,Marathi,21:00,Silver,110₹,86,0
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,21:15,Silver,150₹,42,0
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,21:15,Gold,150₹,128,0
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,21:15,Sofa,180₹,17,5
Maharashtra,Shirur,DigiGoldNovaCinema,Marathi,21:30,Gold,150₹,80,0
Maharashtra,Shirur,DigiGoldNovaCinema,Marathi,21:30,Silver,130₹,64,0
Maharashtra,Pune,GunjanCinemaNhavare,Marathi,21:30,Gold,100₹,40,0
Maharashtra,Pune,GunjanCinemaNhavare,Marathi,21:30,Silver,100₹,34,16
Maharashtra,Pune,VaibhavChitramandirHadapsar,Marathi,21:30,Gold,100₹,142,0
Maharashtra,Aurangabad,InoxTapadiaMallTownCenter,Marathi,22:15,Premiere,140₹,37,0
Maharashtra,Aurangabad,InoxTapadiaMallTownCenter,Marathi,22:15,Silver,150₹,174,3
