State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Karnataka,Bengaluru,PvrPhoenixMarketcityMallWhitefieldRoad,English,13:00,Classic,112₹,124,1
Karnataka,Bengaluru,PvrPhoenixMarketcityMallWhitefieldRoad,English,13:00,Prime,112₹,10,2
Karnataka,Bengaluru,PvrPhoenixMarketcityMallWhitefieldRoad,English,13:00,Recliner,200₹,14,0
Maharashtra,Pune,PvrGrandHighstreetPune,English,13:15,Classic,100₹,24,0
Maharashtra,Pune,PvrGrandHighstreetPune,English,13:15,Prime,120₹,48,0
Maharashtra,Pune,PvrGrandHighstreetPune,English,13:15,PrimePlus,150₹,80,16
Maharashtra,Pune,PvrGrandHighstreetPune,English,13:15,Recliner,250₹,8,2
Haryana,Gurgaon,PvrAmbienceGurgaon,English,16:15,ClassicNormal,112₹,84,0
Haryana,Gurgaon,PvrAmbienceGurgaon,English,16:15,Prime,112₹,38,2
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,English,16:15,Recliner,460₹,14,4
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,English,16:15,Prime,260₹,68,21
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,English,16:15,Classic,150₹,39,0
Maharashtra,Mumbai,PvrIconPhoenixPalladiumLowerParelMumbai,English,16:15,Lounger,200₹,10,0
Kerala,Kochi,PvrLuluKochi,English,16:25,Classic,110₹,39,0
Kerala,Kochi,PvrLuluKochi,English,16:25,ClassicPlus,140₹,91,0
Kerala,Kochi,PvrLuluKochi,English,16:25,Prime,160₹,64,6
Kerala,Kochi,PvrLuluKochi,English,16:25,Recliner,300₹,9,0
Delhi,NewDelhi,PvrPromenadeVasantKunj,English,16:35,Classic,112₹,50,5
Delhi,NewDelhi,PvrPromenadeVasantKunj,English,16:35,Prime,112₹,40,20
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,English,17:15,Classic,180₹,45,0
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,English,17:15,Prime,200₹,179,0
Maharashtra,Mumbai,PvrIconInfinitiAndheriW,English,17:15,Recliner,400₹,12,0
Maharashtra,Mumbai,MaisonPvrLibraryHallJioWorldDriveBkc,English,19:15,Prime,250₹,138,0
Maharashtra,Mumbai,MaisonPvrLibraryHallJioWorldDriveBkc,English,19:15,PrimePlus,300₹,66,26
Maharashtra,Mumbai,MaisonPvrLibraryHallJioWorldDriveBkc,English,19:15,Recliner,600₹,16,10
Maharashtra,Pune,PvrMarketCityVimanNagar,English,19:15,PrimePlus,250₹,10,3
Maharashtra,Pune,PvrMarketCityVimanNagar,English,19:15,Prime,150₹,119,12
Maharashtra,Pune,PvrMarketCityVimanNagar,English,19:15,Classic,150₹,52,0
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,19:45,Classic,150₹,22,0
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,19:45,Prime,150₹,96,30
Maharashtra,Mumbai,PvrIconOberoiGoregaonE,English,19:45,Recliner,350₹,26,0
